orderItemID,returnShipment
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,1
13,0
14,0
15,0
16,1
17,0
18,0
19,1
20,0
21,1
22,1
23,1
24,0
25,1
26,1
27,0
28,1
29,1
30,1
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,1
39,0
40,1
41,0
42,1
43,0
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,0
54,1
55,0
56,1
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,1
65,1
66,1
67,1
68,0
69,0
70,0
71,1
72,1
73,1
74,0
75,0
76,1
77,0
78,1
79,1
80,1
81,0
82,1
83,0
84,1
85,0
86,1
87,0
88,1
89,1
90,0
91,0
92,0
93,1
94,1
95,1
96,1
97,0
98,0
99,1
100,1
101,0
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,0
111,1
112,0
113,0
114,1
115,0
116,0
117,0
118,1
119,1
120,0
121,1
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,1
134,0
135,1
136,1
137,0
138,0
139,0
140,1
141,1
142,1
143,0
144,1
145,1
146,0
147,1
148,1
149,1
150,0
151,0
152,0
153,1
154,0
155,1
156,0
157,1
158,1
159,1
160,1
161,0
162,1
163,0
164,0
165,1
166,1
167,1
168,1
169,0
170,0
171,0
172,1
173,0
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,1
182,1
183,0
184,1
185,1
186,1
187,0
188,1
189,1
190,0
191,0
192,1
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,1
202,0
203,0
204,1
205,1
206,1
207,1
208,1
209,0
210,0
211,1
212,0
213,1
214,0
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,1
225,0
226,1
227,0
228,1
229,0
230,1
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,1
239,0
240,0
241,1
242,1
243,1
244,1
245,1
246,0
247,1
248,0
249,1
250,1
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,1
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,1
274,1
275,0
276,0
277,0
278,0
279,0
280,1
281,1
282,1
283,0
284,0
285,1
286,1
287,0
288,0
289,0
290,0
291,1
292,0
293,1
294,1
295,0
296,1
297,1
298,1
299,0
300,1
301,0
302,0
303,0
304,0
305,1
306,0
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,0
315,1
316,1
317,1
318,0
319,0
320,0
321,0
322,0
323,1
324,0
325,1
326,1
327,1
328,1
329,1
330,0
331,1
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,1
341,1
342,1
343,0
344,1
345,0
346,0
347,0
348,1
349,0
350,1
351,1
352,1
353,1
354,1
355,0
356,0
357,1
358,1
359,0
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,0
368,1
369,0
370,1
371,0
372,0
373,0
374,0
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,1
383,0
384,0
385,0
386,0
387,1
388,0
389,0
390,1
391,1
392,1
393,1
394,1
395,1
396,0
397,1
398,1
399,0
400,1
401,1
402,0
403,0
404,0
405,0
406,1
407,0
408,1
409,0
410,0
411,0
412,1
413,0
414,1
415,1
416,1
417,1
418,0
419,1
420,1
421,0
422,0
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,1
431,1
432,1
433,1
434,0
435,1
436,1
437,0
438,1
439,0
440,1
441,1
442,0
443,1
444,1
445,0
446,0
447,1
448,1
449,0
450,1
451,1
452,1
453,0
454,1
455,1
456,0
457,1
458,1
459,0
460,1
461,0
462,1
463,0
464,0
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,0
475,0
476,0
477,1
478,0
479,0
480,0
481,0
482,1
483,0
484,1
485,0
486,1
487,0
488,0
489,1
490,0
491,1
492,1
493,1
494,1
495,0
496,1
497,1
498,1
499,1
500,0
501,1
502,1
503,1
504,1
505,0
506,0
507,0
508,1
509,1
510,0
511,0
512,0
513,1
514,1
515,0
516,1
517,1
518,0
519,0
520,1
521,0
522,0
523,1
524,0
525,0
526,0
527,1
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,1
536,0
537,1
538,0
539,0
540,1
541,1
542,1
543,0
544,1
545,0
546,1
547,0
548,0
549,1
550,0
551,0
552,1
553,0
554,1
555,1
556,1
557,1
558,0
559,1
560,0
561,1
562,1
563,1
564,1
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,1
576,1
577,0
578,0
579,0
580,1
581,1
582,1
583,0
584,0
585,0
586,1
587,0
588,0
589,0
590,0
591,0
592,1
593,0
594,0
595,0
596,0
597,1
598,0
599,1
600,0
601,0
602,0
603,1
604,0
605,0
606,1
607,0
608,1
609,1
610,0
611,0
612,1
613,0
614,1
615,1
616,1
617,0
618,1
619,0
620,0
621,0
622,0
623,1
624,1
625,0
626,0
627,1
628,0
629,1
630,1
631,1
632,0
633,0
634,1
635,0
636,1
637,0
638,0
639,0
640,0
641,0
642,0
643,1
644,1
645,1
646,0
647,0
648,1
649,1
650,1
651,1
652,1
653,0
654,0
655,0
656,0
657,1
658,1
659,0
660,1
661,0
662,0
663,0
664,1
665,1
666,1
667,1
668,0
669,1
670,0
671,0
672,1
673,1
674,0
675,1
676,1
677,1
678,0
679,1
680,0
681,0
682,0
683,1
684,0
685,0
686,0
687,1
688,0
689,0
690,1
691,1
692,1
693,1
694,0
695,0
696,0
697,1
698,1
699,1
700,1
701,1
702,0
703,1
704,1
705,1
706,1
707,1
708,1
709,0
710,1
711,1
712,1
713,1
714,1
715,1
716,0
717,1
718,1
719,0
720,0
721,1
722,1
723,1
724,1
725,1
726,1
727,0
728,0
729,0
730,0
731,1
732,1
733,0
734,0
735,0
736,1
737,1
738,0
739,0
740,1
741,0
742,0
743,0
744,0
745,0
746,1
747,0
748,1
749,1
750,0
751,1
752,1
753,0
754,1
755,0
756,1
757,0
758,1
759,1
760,0
761,0
762,1
763,0
764,1
765,0
766,1
767,0
768,0
769,0
770,1
771,0
772,1
773,1
774,1
775,0
776,0
777,1
778,1
779,0
780,0
781,0
782,1
783,1
784,1
785,0
786,0
787,1
788,0
789,1
790,1
791,1
792,0
793,1
794,1
795,1
796,0
797,0
798,1
799,0
800,1
801,1
802,1
803,0
804,1
805,1
806,0
807,1
808,1
809,0
810,0
811,0
812,0
813,1
814,0
815,1
816,0
817,1
818,0
819,1
820,1
821,1
822,0
823,1
824,0
825,1
826,0
827,1
828,0
829,1
830,0
831,1
832,1
833,1
834,1
835,1
836,0
837,0
838,0
839,1
840,0
841,0
842,0
