orderItemID,returnShipment
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,1
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,1
63,1
64,1
65,1
66,1
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,1
76,1
77,1
78,0
79,0
80,1
81,1
82,1
83,0
84,0
85,0
86,0
87,1
88,1
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,0
98,0
99,0
100,0
101,1
102,1
103,1
104,0
105,0
106,0
107,0
108,1
109,1
110,0
111,1
112,1
113,0
114,0
115,0
116,1
117,0
118,1
119,1
120,1
121,1
122,1
123,0
124,0
125,1
126,1
127,0
128,0
129,0
130,1
131,1
132,1
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,1
144,1
145,1
146,1
147,1
148,0
149,0
150,0
151,0
152,1
153,1
154,1
155,1
156,1
157,0
158,1
159,1
160,1
161,1
162,1
163,0
164,1
165,1
166,0
167,0
168,0
169,1
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,1
200,1
201,0
202,1
203,0
204,0
205,1
206,0
207,1
208,0
209,1
210,1
211,1
212,0
213,0
214,1
215,0
216,1
217,1
218,1
219,1
220,1
221,0
222,0
223,1
224,0
225,1
226,1
227,1
228,0
229,0
230,1
231,0
232,1
233,1
234,1
235,1
236,0
237,1
238,1
239,1
240,0
241,0
242,0
243,1
244,0
245,1
246,0
247,1
248,0
249,1
250,1
251,0
252,1
253,0
254,0
255,0
256,1
257,1
258,0
259,0
260,0
261,1
262,1
263,1
264,1
265,0
266,1
267,1
268,1
269,0
270,0
271,1
272,0
273,1
274,1
275,0
276,0
277,0
278,0
